HTS Number,Description,CIF Value,Product Cost,Freight,Insurance,General Rate of Duty Parsed (%),General Rate of Duty Duty Amount,Special Rate of Duty Parsed (%),Special Rate of Duty Duty Amount,Column 2 Rate of Duty Parsed (%),Column 2 Rate of Duty Duty Amount,Indent,Unit of Quantity,Is Special Free,Special Countries
0401,"Milk and cream, not concentrated nor containing added sugar or other sweetening matter:",10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Given,False,
0401.10.00.00,"Of a fat content, by weight, not exceeding 1 percent",10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['liters', 'kg']",True,"A+, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG"
0401.20,"Of a fat content, by weight, exceeding 1 percent but not exceeding 6 percent:",10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Not Given,False,
0401.20.20.00,"For not over 11,356,236 liters entered in any calendar year",10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"['liters', 'kg cmsc']",True,"A+, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG"
0401.20.40.00,Other,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"['liters', 'kg cmsc']",True,"AU, BH, CL, CO, IL, JO, KR, MA, OM, P, PA, PE, S, SG"
0401.40,"Of a fat content, by weight, exceeding 6 percent but not exceeding 10 percent:",10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Not Given,False,
0401.40.02.00,Described in general note 15 of the tariff schedule and entered pursuant to its provisions,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,['liters'],True,"A+, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG"
0401.40.05.00,Described in additional U.S. note 5 to this chapter and entered pursuant to its provisions,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"['liters', 'kg cmsc']",True,"A+, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG"
0401.40.25.00,Other,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"['liters', 'kg cmsc']",True,"BH, CL, CO, JO, KR, MA, OM, P, P+, PE, SG"
0401.50,"Of a fat content, by weight, exceeding 10 percent:",10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Not Given,False,
0401.50,"Of a fat content, by weight, not exceeding 45 percent:",10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Not Given,False,
0401.50.02.00,Described in general note 15 of the tariff schedule and entered pursuant to its provisions,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,['liters'],True,"A+, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG"
0401.50.05.00,Described in additional U.S. note 5 to this chapter and entered pursuant to its provisions,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,"['liters', 'kg cmsc']",True,"A+, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG"
0401.50.25.00,Other,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,"['liters', 'kg cmsc']",True,"BH, CL, CO, JO, KR, MA, OM, P, P+, PE, SG"
0401.50.25.00,Other:,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Not Given,False,
0401.50.42.00,Described in general note 15 of the tariff schedule and entered pursuant to its provisions,10600.0,10000.0,500.0,100.0,0.01160377358490566,123.0,0.0,0.0,0.029245283018867925,310.0,3.0,"['liters', 'kg']",True,"A+, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG"
0401.50.50.00,Described in additional U.S. note 6 to this chapter and entered pursuant to its provisions,10600.0,10000.0,500.0,100.0,0.01160377358490566,123.0,0.0,0.0,0.029245283018867925,310.0,3.0,"['liters', 'kg']",True,"A+, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG"
0401.50.75.00,Other,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,"['liters', 'kg']",True,"BH, CL, CO, JO, KR, MA, OM, P, P+, PE, SG"
0402,"Milk and cream, concentrated or containing added sugar or other sweetening matter:",10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Given,False,
0402.10,"In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 percent:",10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Not Given,False,
0402.10.05.00,Described in general note 15 of the tariff schedule and entered pursuant to its provisions,10600.0,10000.0,500.0,100.0,0.0031132075471698114,33.0,0.0,0.0,0.006226415094339623,66.0,2.0,['kg'],True,"A+, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG"
0402.10.10.00,Described in additional U.S. note 7 to this chapter and entered pursuant to its provisions,10600.0,10000.0,500.0,100.0,0.0031132075471698114,33.0,0.0,0.0,0.006226415094339623,66.0,2.0,"['kg', 'kg cmsc']",True,"A+, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG"
0402.10.50.00,Other,10600.0,10000.0,500.0,100.0,0.08160377358490566,865.0,0.0,0.0,0.0,0.0,2.0,"['kg', 'kg cmsc']",True,"BH, CL, JO, MA, OM, P, PE, SG"
0402.10.50.00,"In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5 percent:",10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Not Given,False,
0402.21,Not containing added sugar or other sweetening matter:,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Not Given,False,
0402.21,"Of a fat content, by weight, not exceeding 3 percent:",10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Not Given,False,
